sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.127000E+001      0.139081E+014      0.258685E-039      0.595986E-017      0.139081E+014 
     -0.126000E+001      0.138970E+014      0.256184E-039      0.596971E-017      0.138970E+014 
     -0.125000E+001      0.138859E+014      0.253720E-039      0.598014E-017      0.138859E+014 
     -0.124000E+001      0.138750E+014      0.251292E-039      0.599118E-017      0.138750E+014 
     -0.123000E+001      0.138642E+014      0.248900E-039      0.600289E-017      0.138642E+014 
     -0.122000E+001      0.138534E+014      0.246544E-039      0.601532E-017      0.138534E+014 
     -0.121000E+001      0.138428E+014      0.244225E-039      0.602854E-017      0.138428E+014 
     -0.120000E+001      0.138322E+014      0.241941E-039      0.604261E-017      0.138322E+014 
     -0.119000E+001      0.138218E+014      0.239694E-039      0.605761E-017      0.138218E+014 
     -0.118000E+001      0.138115E+014      0.237483E-039      0.607362E-017      0.138115E+014 
     -0.117000E+001      0.138013E+014      0.235307E-039      0.609074E-017      0.138013E+014 
     -0.116000E+001      0.137912E+014      0.233168E-039      0.610907E-017      0.137912E+014 
     -0.115000E+001      0.137812E+014      0.231065E-039      0.612855E-017      0.137812E+014 
     -0.114000E+001      0.137713E+014      0.228998E-039      0.614969E-017      0.137713E+014 
     -0.113000E+001      0.137616E+014      0.226967E-039      0.617244E-017      0.137616E+014 
     -0.112000E+001      0.137519E+014      0.224972E-039      0.619701E-017      0.137519E+014 
     -0.111000E+001      0.137424E+014      0.223014E-039      0.622358E-017      0.137424E+014 
     -0.110000E+001      0.137330E+014      0.221092E-039      0.625239E-017      0.137330E+014 
     -0.109000E+001      0.137237E+014      0.219207E-039      0.628371E-017      0.137237E+014 
     -0.108000E+001      0.137146E+014      0.217358E-039      0.631784E-017      0.137146E+014 
     -0.107000E+001      0.137055E+014      0.215546E-039      0.635514E-017      0.137055E+014 
     -0.106000E+001      0.136966E+014      0.213770E-039      0.639601E-017      0.136966E+014 
     -0.105000E+001      0.136879E+014      0.212032E-039      0.644093E-017      0.136879E+014 
     -0.104000E+001      0.136792E+014      0.210329E-039      0.649046E-017      0.136792E+014 
     -0.103000E+001      0.136707E+014      0.208664E-039      0.654522E-017      0.136707E+014 
     -0.102000E+001      0.136623E+014      0.207035E-039      0.660596E-017      0.136623E+014 
     -0.101000E+001      0.136541E+014      0.205443E-039      0.667355E-017      0.136541E+014 
     -0.100000E+001      0.136460E+014      0.203886E-039      0.674901E-017      0.136460E+014 
     -0.990000E+000      0.136380E+014      0.202366E-039      0.683350E-017      0.136380E+014 
     -0.980000E+000      0.136302E+014      0.200880E-039      0.692842E-017      0.136302E+014 
     -0.970000E+000      0.136225E+014      0.199430E-039      0.703537E-017      0.136225E+014 
     -0.960000E+000      0.136149E+014      0.198015E-039      0.715629E-017      0.136149E+014 
     -0.950000E+000      0.136074E+014      0.196632E-039      0.729314E-017      0.136074E+014 
     -0.940000E+000      0.136001E+014      0.195287E-039      0.744914E-017      0.136001E+014 
     -0.930000E+000      0.135929E+014      0.193981E-039      0.762761E-017      0.135929E+014 
     -0.920000E+000      0.135859E+014      0.192717E-039      0.783311E-017      0.135859E+014 
     -0.910000E+000      0.135791E+014      0.191497E-039      0.807155E-017      0.135791E+014 
     -0.900000E+000      0.135725E+014      0.190323E-039      0.835032E-017      0.135725E+014 
     -0.890000E+000      0.135661E+014      0.189194E-039      0.867835E-017      0.135661E+014 
     -0.880000E+000      0.135598E+014      0.188108E-039      0.906650E-017      0.135598E+014 
     -0.870000E+000      0.135537E+014      0.187064E-039      0.952808E-017      0.135537E+014 
     -0.860000E+000      0.135478E+014      0.186058E-039      0.100794E-016      0.135478E+014 
     -0.850000E+000      0.135420E+014      0.185090E-039      0.107407E-016      0.135420E+014 
     -0.840000E+000      0.135363E+014      0.184156E-039      0.115371E-016      0.135363E+014 
     -0.830000E+000      0.135308E+014      0.183258E-039      0.125024E-016      0.135308E+014 
     -0.820000E+000      0.135254E+014      0.182390E-039      0.136710E-016      0.135254E+014 
     -0.810000E+000      0.135201E+014      0.181553E-039      0.150943E-016      0.135201E+014 
     -0.800000E+000      0.135150E+014      0.180745E-039      0.168340E-016      0.135150E+014 
     -0.790000E+000      0.135099E+014      0.179966E-039      0.189676E-016      0.135099E+014 
     -0.780000E+000      0.135049E+014      0.179214E-039      0.215928E-016      0.135049E+014 
     -0.770000E+000      0.135001E+014      0.178489E-039      0.248334E-016      0.135001E+014 
     -0.760000E+000      0.134953E+014      0.136940E-008      0.911190E-003      0.134953E+014 
     -0.750000E+000      0.134906E+014      0.141280E-008      0.911190E-003      0.134906E+014 
     -0.740000E+000      0.134861E+014      0.145553E-008      0.911190E-003      0.134861E+014 
     -0.730000E+000      0.134815E+014      0.424376E-008      0.582380E-002      0.134815E+014 
     -0.720000E+000      0.134771E+014      0.436860E-008      0.582380E-002      0.134771E+014 
     -0.710000E+000      0.134728E+014      0.607118E-008      0.673499E-002      0.134728E+014 
     -0.700000E+000      0.134685E+014      0.766890E-008      0.764618E-002      0.134685E+014 
     -0.690000E+000      0.134643E+014      0.951875E-008      0.855736E-002      0.134643E+014 
     -0.680000E+000      0.134601E+014      0.171374E-007      0.192938E-001      0.134601E+014 
     -0.670000E+000      0.134560E+014      0.192779E-007      0.202050E-001      0.134560E+014 
     -0.660000E+000      0.134520E+014      0.260724E-007      0.269399E-001      0.134520E+014 
     -0.650000E+000      0.134480E+014      0.316510E-007      0.327637E-001      0.134480E+014 
     -0.640000E+000      0.134441E+014      0.378660E-007      0.354973E-001      0.134441E+014 
     -0.630000E+000      0.134403E+014      0.555192E-007      0.538799E-001      0.134403E+014 
     -0.620000E+000      0.134364E+014      0.712966E-007      0.673498E-001      0.134364E+014 
     -0.610000E+000      0.134327E+014      0.896150E-007      0.817309E-001      0.134327E+014 
     -0.600000E+000      0.134290E+014      0.118787E-006      0.104669E+000      0.134290E+014 
     -0.590000E+000      0.134253E+014      0.151629E-006      0.128519E+000      0.134253E+014 
     -0.580000E+000      0.134217E+014      0.199649E-006      0.168929E+000      0.134217E+014 
     -0.570000E+000      0.134182E+014      0.258124E-006      0.216074E+000      0.134182E+014 
     -0.560000E+000      0.134146E+014      0.337631E-006      0.278511E+000      0.134146E+014 
     -0.550000E+000      0.134112E+014      0.435217E-006      0.350416E+000      0.134112E+014 
     -0.540000E+000      0.134077E+014      0.570327E-006      0.454174E+000      0.134077E+014 
     -0.530000E+000      0.134043E+014      0.740010E-006      0.579960E+000      0.134043E+014 
     -0.520000E+000      0.134010E+014      0.965663E-006      0.743065E+000      0.134010E+014 
