 sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.131000E+001     -0.567017E+012     -0.273059E-039      0.567017E+012      0.494495E+001 
     -0.130000E+001     -0.545299E+012     -0.270241E-039      0.545299E+012      0.971802E+001 
     -0.129000E+001     -0.523678E+012     -0.267465E-039      0.523678E+012      0.607660E+001 
     -0.128000E+001     -0.502158E+012     -0.264730E-039      0.502158E+012      0.516443E+001 
     -0.127000E+001     -0.480742E+012     -0.262036E-039      0.480742E+012      0.464496E+001 
     -0.126000E+001     -0.459434E+012     -0.259383E-039      0.459434E+012      0.889624E+001 
     -0.125000E+001     -0.438240E+012     -0.256772E-039      0.438240E+012      0.393579E+001 
     -0.124000E+001     -0.417161E+012     -0.254201E-039      0.417161E+012      0.264978E+001 
     -0.123000E+001     -0.396204E+012     -0.251672E-039      0.396204E+012      0.230725E+001 
     -0.122000E+001     -0.375372E+012     -0.249184E-039      0.375372E+012      0.461731E+001 
     -0.121000E+001     -0.354671E+012     -0.246736E-039      0.354671E+012     -0.240912E+001 
     -0.120000E+001     -0.334105E+012     -0.244330E-039      0.334105E+012      0.254968E+001 
     -0.119000E+001     -0.313680E+012     -0.241965E-039      0.313680E+012      0.102986E+002 
     -0.118000E+001     -0.293400E+012     -0.239640E-039      0.293400E+012      0.368091E+001 
     -0.117000E+001     -0.273271E+012     -0.237357E-039      0.273271E+012      0.232401E+001 
     -0.116000E+001     -0.253299E+012     -0.235115E-039      0.253299E+012      0.102744E+002 
     -0.115000E+001     -0.233490E+012     -0.232914E-039      0.233490E+012      0.315201E+001 
     -0.114000E+001     -0.213850E+012     -0.230755E-039      0.213850E+012      0.423618E+001 
     -0.113000E+001     -0.194385E+012     -0.228637E-039      0.194385E+012      0.973053E+000 
     -0.112000E+001     -0.175101E+012     -0.226560E-039      0.175101E+012     -0.169342E+000 
     -0.111000E+001     -0.156005E+012     -0.224524E-039      0.156005E+012      0.772729E+001 
     -0.110000E+001     -0.137104E+012     -0.222531E-039      0.137104E+012      0.600935E+001 
     -0.109000E+001     -0.118405E+012     -0.220579E-039      0.118405E+012      0.285530E+001 
     -0.108000E+001     -0.999133E+011     -0.218668E-039      0.999133E+011      0.370560E+001 
     -0.107000E+001     -0.816373E+011     -0.216800E-039      0.816373E+011      0.106859E+001 
     -0.106000E+001     -0.635834E+011     -0.214974E-039      0.635834E+011      0.539325E+001 
     -0.105000E+001     -0.457584E+011     -0.213190E-039      0.457584E+011     -0.788116E-002 
     -0.104000E+001     -0.281689E+011     -0.211448E-039      0.281689E+011      0.643856E+001 
     -0.103000E+001     -0.108213E+011     -0.209749E-039      0.108213E+011      0.164280E+001 
     -0.102000E+001      0.627824E+010     -0.208091E-039     -0.627824E+010      0.566916E+001 
     -0.101000E+001      0.231240E+011     -0.206476E-039     -0.231240E+011      0.320158E+001 
     -0.100000E+001      0.397107E+011     -0.204903E-039     -0.397107E+011      0.892915E+001 
     -0.990000E+000      0.560336E+011     -0.203373E-039     -0.560336E+011      0.557314E+001 
     -0.980000E+000      0.720887E+011     -0.201884E-039     -0.720887E+011      0.806645E+001 
     -0.970000E+000      0.878725E+011     -0.200436E-039     -0.878725E+011      0.115331E+002 
     -0.960000E+000      0.103382E+012     -0.199030E-039     -0.103382E+012      0.445432E+001 
     -0.950000E+000      0.118617E+012     -0.197666E-039     -0.118617E+012      0.487292E+001 
     -0.940000E+000      0.133575E+012     -0.196341E-039     -0.133575E+012      0.721556E+001 
     -0.930000E+000      0.148256E+012     -0.195057E-039     -0.148256E+012      0.235638E+001 
     -0.920000E+000      0.162662E+012     -0.193812E-039     -0.162662E+012      0.786542E+001 
     -0.910000E+000      0.176794E+012     -0.192606E-039     -0.176794E+012      0.507413E+001 
     -0.900000E+000      0.190655E+012     -0.191438E-039     -0.190655E+012      0.547421E+001 
     -0.890000E+000      0.204249E+012     -0.190308E-039     -0.204249E+012      0.107190E+002 
     -0.880000E+000      0.217580E+012     -0.189214E-039     -0.217580E+012      0.851508E+001 
     -0.870000E+000      0.230653E+012     -0.188156E-039     -0.230653E+012      0.833707E+001 
     -0.860000E+000      0.243473E+012     -0.187132E-039     -0.243473E+012      0.179047E+000 
     -0.850000E+000      0.256048E+012     -0.186143E-039     -0.256048E+012      0.109565E+002 
     -0.840000E+000      0.268383E+012     -0.185187E-039     -0.268383E+012      0.732288E+001 
     -0.830000E+000      0.280486E+012     -0.184263E-039     -0.280486E+012      0.561707E+000 
     -0.820000E+000      0.292364E+012     -0.183370E-039     -0.292364E+012      0.286139E+001 
     -0.810000E+000      0.304023E+012     -0.182507E-039     -0.304023E+012      0.113727E+001 
     -0.800000E+000      0.315473E+012     -0.181674E-039     -0.315473E+012      0.361523E+001 
     -0.790000E+000      0.326720E+012     -0.180870E-039     -0.326720E+012      0.236310E+001 
     -0.780000E+000      0.337771E+012     -0.180094E-039     -0.337771E+012      0.187561E+001 
     -0.770000E+000      0.348634E+012     -0.179345E-039     -0.348634E+012      0.675977E+001 
     -0.760000E+000      0.359317E+012     -0.178622E-039     -0.359317E+012      0.444006E+001 
     -0.750000E+000      0.369825E+012     -0.177925E-039     -0.369825E+012      0.886853E+001 
     -0.740000E+000      0.380167E+012     -0.177252E-039     -0.380167E+012      0.434625E+001 
     -0.730000E+000      0.390348E+012     -0.176605E-039     -0.390348E+012      0.569769E+001 
     -0.720000E+000      0.400374E+012     -0.175981E-039     -0.400374E+012      0.818640E+001 
     -0.710000E+000      0.410253E+012     -0.175381E-039     -0.410253E+012      0.564752E+001 
     -0.700000E+000      0.419988E+012     -0.174803E-039     -0.419988E+012      0.802155E+001 
     -0.690000E+000      0.429587E+012     -0.174249E-039     -0.429587E+012      0.160004E+001 
     -0.680000E+000      0.439053E+012     -0.173716E-039     -0.439053E+012      0.918719E+001 
